COD_PROPOSTA,COD_CLIENTE,COD_COLABORADOR,DATA_ENTRADA_PROPOSTA,TAXA_JUROS_MENSAL,VALOR_PROPOSTA,VALOR_FINANCIAMENTO,VALOR_ENTRADA,VALOR_PRESTACAO,QUANTIDADE_PARCELAS,CARENCIA,STATUS_PROPOSTA
1,145,47,2022-12-06 19:24:54.492,0.0101,6251.8175868346960,11343.66,5091.84241316530400,99.606033280834550,100,6,Validação documentos
2,450,99,2015-04-30 14:30:35.615,0.0151,82085.2056678782700,132383.56,50298.35433212173000,1991.168828543125300,65,5,Enviada
3,217,95,2016-03-07 02:47:24.741,0.0211,73323.2933646913900,96087.95,22764.65663530861300,1832.925433123554500,89,2,Aprovada
4,550,51,2017-04-04 14:57:16.727,0.0228,23341.8531000287400,36949.55,13607.69689997126000,591.531058437256900,102,5,Em análise
5,307,72,2022-05-24 15:22:12.355,0.0123,4510.7672510424620,6381.91,1871.14274895753780,167.130271047662260,33,6,Aprovada
6,872,39,2013-06-29 07:09:17.100,0.0154,163801.6203713355000,209889.76,46088.13962866450000,3169.223258849489000,104,0,Enviada
7,35,22,2020-08-09 18:32:18.206,0.0139,9972.8669727027630,17837.40,7864.53302729723800,2078.512477407612600,5,0,Em análise
8,708,32,2012-05-23 11:01:12.744,0.0168,123766.0948812726700,165108.26,41342.16511872734600,3171.025882499832700,64,5,Enviada
9,430,17,2012-06-21 19:19:44.736,0.0168,35957.9861039075100,58860.13,22902.14389609248600,995.832681159989000,56,2,Em análise
10,733,23,2016-09-13 09:21:33.126,0.0203,37533.6661250127950,58781.55,21247.88387498720500,838.664198698464600,119,2,Validação documentos
11,861,45,2018-12-10 11:47:40.980,0.0117,137681.3437208547300,195118.71,57437.36627914526600,2583.193235566262500,84,6,Enviada
12,298,5,2012-08-01 17:58:33.484,0.0155,20890.1090560965530,39641.15,18751.04094390345000,390.367153376311600,115,4,Enviada
13,927,36,2012-06-07 18:25:48.936,0.0222,49823.9092023698200,78197.13,28373.22079763018300,2024.461255813214200,36,6,Validação documentos
14,36,32,2014-05-02 19:03:53.628,0.0101,107044.4598268031800,133780.50,26736.04017319681600,2618.224722812826000,53,3,Validação documentos
