COD_TRANSACAO,NUM_CONTA,DATA_TRANSACAO,NOME_TRANSACAO,VALOR_TRANSACAO
1,1,2016-03-15 18:09:56.704,Depósito em espécie,130.100000000000000
2,2,2021-02-03 02:56:28.418,Depósito em espécie,270.100000000000000
3,3,2017-01-18 22:55:42.504,TED - Recebido,1205.000000000000000
4,4,2019-06-26 21:38:39.164,Depósito em espécie,166.500000000000000
5,5,2015-09-28 05:58:31.182,Depósito em espécie,491.500000000000000
6,6,2017-11-21 03:38:45.347,Depósito em espécie,398.000000000000000
7,7,2022-04-08 06:18:27.941,Depósito em espécie,25.200000000000000
8,8,2017-10-21 00:38:39.755,TED - Recebido,1882.999999999999800
9,9,2021-01-14 18:55:55.062,Depósito em espécie,64.100000000000000
10,10,2015-07-24 13:49:52.225,TED - Recebido,9648.000000000000000
11,11,2021-10-04 23:30:41.005,Depósito em espécie,104.200000000000000
12,12,2013-03-29 19:10:36.160,TED - Recebido,858.000000000000000
13,13,2020-01-12 06:10:48.684,Depósito em espécie,32.000000000000000
14,14,2021-12-04 10:42:34.663,Depósito em espécie,301.400000000000000
15,15,2019-02-13 13:11:40.865,Depósito em espécie,296.300000000000000
16,16,2021-04-23 00:51:30.839,TED - Recebido,7131.000000000000000
17,17,2020-08-17 19:45:02.974,Depósito em espécie,718.500000000000000
18,18,2011-06-24 14:21:00.175,TED - Recebido,262.000000000000000
19,19,2016-09-06 09:08:49.525,Depósito em espécie,1063.700000000000000
20,20,2019-05-26 23:19:52.375,Depósito em espécie,301.800000000000000
21,21,2012-03-19 22:06:42.484,Depósito em espécie,42.500000000000000
22,22,2014-11-19 03:58:01.199,Depósito em espécie,47.000000000000000
23,23,2015-10-09 08:50:16.935,Depósito em espécie,107.699999999999990
24,24,2015-10-09 18:19:38.105,Depósito em espécie,157.200000000000020
25,25,2022-08-25 16:20:48.384,Depósito em espécie,107.300000000000010
26,26,2021-07-14 10:56:59.241,Depósito em espécie,172.300000000000000
27,27,2019-09-24 22:01:18.745,Depósito em espécie,1043.800000000000000
28,28,2016-07-08 11:27:50.014,TED - Recebido,1187.000000000000000
29,29,2019-12-25 07:06:58.388,Depósito em espécie,202.000000000000000
30,30,2021-07-22 12:08:08.322,TED - Recebido,3689.000000000000000
31,31,2016-11-10 09:09:05.720,Depósito em espécie,382.500000000000000
32,32,2019-02-16 05:55:28.231,Depósito em espécie,24.300000000000000
33,33,2020-01-03 02:51:46.659,TED - Recebido,1741.000000000000000
34,34,2014-12-06 17:45:29.527,Depósito em espécie,39.000000000000000
35,35,2018-09-28 16:12:04.509,Depósito em espécie,361.500000000000000
36,36,2020-01-20 05:34:15.180,Depósito em espécie,157.500000000000000
37,37,2012-06-10 13:35:00.544,Depósito em espécie,273.299999999999950
38,38,2021-07-22 11:45:35.383,Depósito em espécie,542.100000000000000
39,39,2015-01-07 20:59:54.662,Depósito em espécie,98.699999999999990
